"Table with row headers in column A and column headers in rows 5 and 6, and 60 and 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8.  Median Household Income by State: 1984 to 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Households as of March of the following year.  Income in current and 2015 CPI-U-RS adjusted dollars. (28)  Beginning in 2010, standard errors were calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004(revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
D.C.,70071,2861,68356,4407,61110,5626,61739,3136,67354,3790,58228,2223,61887,3623,58705,2307,61196,1941,58052,1254,56987,1974,54606,2630,54521,2339,58047,1827,51472,1311,55114,1370,56733,1475,55026,2275,48587,1905,46927,1449,48101,2375,47521,1827,47665,1752,44117,2789,50081,1861,50736,3231,48196,2748,49390,1874,51500,1441,54816,2566,50201,2584,44289,1589,44357,1869
Florida,48825,1395,46193,951,49383,2864,48726,1601,47560,1146,47535,1199,47904,1678,50408,780,49381,945,52349,652,53695,739,52175,983,50862,793,50222,978,50094,1091,48757,558,53477,1023,50986,892,50732,1115,47804,859,46107,772,45971,946,46364,1000,46130,1142,45283,871,46266,806,46952,799,48159,877,48929,915,48894,950,47161,1115,44850,918,43003,1017
Georgia,50768,1401,49612,2011,47816,4310,48271,1993,49676,1553,48450,2617,47960,1981,47878,1387,50889,1281,55603,1232,58007,1422,55739,1017,51426,775,54689,1262,56570,1458,56997,1436,57668,1144,56100,1928,56190,1713,54002,1349,48898,2507,52700,1386,49804,1959,51160,2026,47680,2033,46198,1847,48493,2087,50849,1885,51163,1726,53336,2755,50300,2295,44232,1656,43436,1771
Hawaii,64514,2840,71305,2679,65361,3987,62485,2246,58081,2328,62228,2667,64725,2969,61475,2235,67726,1630,73186,2429,71086,1847,72317,1471,70571,2121,66797,1717,62319,1806,63507,1681,70942,1642,63328,2607,59332,3443,60293,2061,62857,2848,66226,1997,66878,3835,68932,2842,69728,2376,63233,2767,68481,2488,64683,2452,63600,2854,69924,2144,59863,2489,60858,3039,62765,2643
Idaho,51624,1260,53499,2575,49317,5580,52675,3720,49471,3276,50016,3676,51148,2032,51675,1396,52202,1851,56224,1476,54326,1542,53615,1522,55659,1740,54604,1265,49687,1477,51194,1293,51763,1641,50942,2011,53305,1584,49202,1972,52228,2018,50501,1725,49913,2023,50105,2138,45870,1447,44337,1747,44524,1715,45517,1759,45162,1934,41439,1665,42826,1404,43627,1257,45844,2093
Illinois,60413,1999,54979,1627,54883,3345,58199,1775,53410,1371,53365,1448,55147,1602,58405,1040,58625,1459,60022,1086,57216,1372,58739,1197,57816,1033,58188,1381,56268,1128,61810,1177,63397,1329,65926,1463,62749,1793,60807,1152,59519,1666,58839,1352,55524,1265,53090,1309,52240,1245,54130,1212,57257,1274,57787,1150,56860,1452,54075,1070,54719,1309,52262,1099,51626,1232
Indiana,51983,1682,48115,1945,50322,4587,51439,3276,47650,1845,46839,2433,50158,2797,48944,1199,51212,1305,54245,1435,53379,1453,51504,1335,53113,1444,54672,1236,54077,985,54056,1269,56242,934,58111,2446,57739,2309,57281,1742,52888,1953,51596,2232,44092,1633,47625,2199,47238,2177,45989,1565,47379,1934,47814,1887,50637,1793,44961,1885,46911,1463,47649,1315,49491,1543
Iowa,60855,3275,57876,3429,61211,6242,55817,2001,55169,2207,52925,2080,53286,1459,56031,1696,55199,1423,55909,1659,56575,1753,56435,1625,54446,1909,53331,1139,54080,1518,54855,1517,56415,1116,58481,1608,53798,1747,49760,1888,49971,2298,54894,1456,52355,2026,46313,2004,47591,1609,48475,1718,48013,1735,48491,1462,46809,2076,44304,1821,46356,1548,43976,1269,43173,1619
Kansas,54865,3731,53505,2866,48658,4575,52388,1524,51619,1871,48633,2055,50066,1974,49399,1975,52706,1552,55439,2063,53549,1472,51007,1195,51529,2195,57001,1709,56148,1379,55443,1493,56509,1608,53145,2957,53350,2350,53719,2377,49032,2197,46892,1423,44826,1684,48102,1848,50245,1883,49734,1586,52638,2074,49594,1676,49237,2221,51078,1797,49384,1614,47886,2171,53532,1982
Kentucky,42387,2269,42835,1582,45666,3993,42897,1907,42414,1961,42003,1947,44684,3069,47131,1450,45298,894,45099,1384,46417,1236,44540,1090,44683,1528,47599,1104,48432,1151,51456,1351,49911,1167,48008,2112,52683,2196,49272,2444,48774,2165,46071,1776,42093,1627,39386,1763,38885,2085,40344,1776,43600,2134,42986,2227,38339,1543,41275,1875,41020,2076,36482,1572,38428,2345
Louisiana,45922,2140,42455,1864,47239,2588,40317,2907,40348,1663,42848,2033,42723,3531,50190,2003,43553,1636,47226,1071,42894,1675,45192,1574,45710,1560,43180,1421,44804,1657,44609,1600,42277,1140,46466,1770,46119,2412,48990,2285,45537,1941,43195,1685,40638,2376,42514,1881,42120,1891,42950,1963,39421,2780,42207,3428,39475,2839,42625,1713,43117,1973,44505,1530,41186,1913
Maine,50756,1929,51769,2173,55921,3931,51000,1987,50747,2320,52370,2090,52106,1834,52475,1921,51991,1581,54749,1598,53655,2112,53308,1739,51859,1535,47827,1218,48552,1115,49013,1274,51289,1174,55299,1877,51794,1524,48271,1916,52209,1822,52327,1681,47982,2433,44334,1944,49038,1699,47312,2127,48322,2766,52103,2564,50847,1814,47119,2034,48348,2002,43118,1687,44879,1921
Maryland,73594,2692,76253,4277,70569,3022,66406,4463,74157,1911,72587,2239,69793,2497,70906,1849,70136,1947,75024,1899,74845,1882,73441,1793,71651,2123,67416,1576,74313,2018,71661,2212,75056,1927,74286,3155,72686,3140,68764,2174,66199,3860,63429,2515,62040,2216,64533,2071,61598,2692,62734,2406,68368,2808,66494,2191,70395,2303,69820,2771,63167,2138,63327,2030,64571,2502
Massachusetts,67861,2790,63224,2665,63625,5396,64067,3517,65713,3895,66724,3400,66242,2384,65589,1932,66403,1843,66831,2550,65044,2444,67986,2129,65272,2092,65664,1228,65681,1519,69952,2032,64345,1868,62618,2879,61538,2850,61897,2037,59429,2907,59616,2280,64100,1678,59887,1533,60201,1222,60632,1341,63776,1457,66623,1300,63964,1616,64371,1430,62620,1517,59274,1702,58596,1506
Michigan,54203,2005,52065,1200,57559,1615,49657,2268,51631,1564,51512,1943,50307,1888,50809,1108,54809,1270,56437,912,57187,1136,55747,1111,53022,1077,58019,1224,56275,1469,60305,1162,62637,1507,65583,1460,60777,1333,57064,1632,59024,1720,56296,1536,55845,1084,52775,1102,53425,1260,54525,1170,52673,1167,56818,1459,56760,1169,55309,1446,54913,1337,50942,1761,49915,1380
Minnesota,68730,3063,67321,3211,65452,4062,61975,1875,63792,1382,60935,2508,56878,1746,61962,1367,60464,1571,66368,2158,66079,1432,65799,1510,70398,1343,68072,1582,71961,1576,70525,1518,74665,2344,66934,2173,69649,3074,62694,2224,61681,1843,58625,2856,53249,2153,54423,1958,51296,2147,50047,1946,55362,1809,55729,2359,56018,2005,56067,2222,54579,2374,50131,2148,53112,1987
Mississippi,40037,1071,35562,1295,32905,2778,41566,2182,37825,1596,43304,2493,41484,3077,38751,1441,40122,914,42615,1087,40831,1861,39899,1568,43610,1420,42176,1434,40685,1009,40377,1588,47205,1863,46215,2004,42319,1683,41977,2041,40142,1980,41014,1589,40201,1190,35856,1986,34058,1778,33063,1788,35503,1411,36771,1748,34986,1710,36962,1799,34083,1319,34490,1301,33538,1591
Missouri,59196,2607,56695,3033,47115,4206,51193,3763,51372,2108,48240,2273,49808,2345,53875,1762,50681,1262,52590,1262,52405,1648,52171,1200,52872,1346,56395,1128,56355,1415,55341,1612,62066,1634,58887,1695,58422,2715,53840,3034,51560,2277,53822,2122,47783,2282,46344,2369,45302,2402,47410,2402,48090,2453,48920,1377,45149,2095,47358,2330,45254,1593,46102,1278,45155,1554
Montana,51395,2937,51161,1780,43958,6050,44906,3309,46545,2648,42447,2146,44876,2008,44671,1107,47227,1942,49904,1942,48321,819,45285,1409,42607,890,43954,1375,45893,1597,43008,987,45110,1378,44166,1375,45889,1647,43027,1687,43162,2356,42898,1708,43732,1972,42770,1559,43918,1205,42149,1511,41128,1730,43741,2420,42814,1597,40878,1595,41957,1546,42524,1681,42462,1565
Nebraska,60474,2937,56935,2257,58633,4291,54717,1847,53883,2786,58612,2838,57077,1914,54787,1830,55844,1380,56213,1576,56597,1752,58162,1756,54942,1671,56668,1683,56381,1368,58383,1494,57460,1401,54964,1944,52917,2251,51099,2251,51183,2257,50892,1785,50321,1766,50102,1346,49751,1773,50166,1710,48354,1985,48591,2808,48453,1849,46456,1519,44938,1680,45808,1921,46507,1663
Nevada,52008,2272,49932,1838,52755,3234,46164,2880,48863,2615,49577,2813,55660,2089,56819,1212,60265,2926,61796,1479,61460,1472,58509,2039,59230,1734,58227,2003,59230,1530,60782,1513,62976,1391,58998,2510,57776,1780,57229,2321,57993,2430,55768,2031,56774,2428,57867,1742,52831,1318,55917,2655,56344,2074,54169,1750,53892,1841,53664,2252,54112,1847,48908,2112,56025,2213
New Hampshire,75675,3519,73481,3257,70311,4037,72573,3318,70011,2296,69429,1741,72437,1795,70845,2050,72850,3527,77249,2110,72849,1739,69159,2459,71290,1661,71608,1680,72882,1698,68718,963,70089,1711,65535,2778,65335,2712,60387,2363,59298,2609,60539,2405,55783,2907,61341,2618,65295,3182,61172,2273,71795,2310,69293,2531,66684,2174,64565,2895,63052,1711,55483,2257,56325,1598
New Jersey,68357,3132,65318,2696,64872,4542,62865,3112,68847,2023,65696,3191,68453,2656,71559,2120,71892,2529,69169,1667,80007,2326,76907,2739,69358,1610,72224,1318,71890,2114,69307,1249,69372,1364,70770,1999,72410,2087,70731,2097,71428,1831,67884,2164,66918,1684,65439,1593,64573,1392,67992,1754,68151,1520,72225,1750,69885,1267,68364,1585,65460,1738,65101,1351,60372,1739
New Mexico,45119,2885,46740,3316,40870,4485,42866,2717,44827,2340,44244,2270,49065,3279,48101,1650,46348,1520,50705,1685,47055,1478,47269,2063,49641,1988,45239,1472,46713,1398,44344,1657,48298,1718,46352,2485,45840,2032,44314,1704,37748,1642,40169,1700,42583,2187,43235,1378,42817,2230,45057,2029,44055,1844,41729,1900,37162,1604,41445,1240,40960,1430,42917,2154,44840,2237
New York,58005,2205,54372,1783,50842,2307,54787,1671,49221,1636,53364,1060,54117,1435,55473,662,55550,751,55950,1049,56688,1163,57256,1004,56024,994,55140,1124,55288,764,56379,803,56075,800,56903,1251,54343,1129,52728,934,53283,1123,51045,1107,50487,755,51215,898,51412,876,53977,913,55584,899,58149,836,55687,1286,52677,910,51652,978,49675,1099,47876,906
North Carolina,50797,1343,46838,1712,47149,3026,41931,2094,42896,1336,47641,1644,47648,2091,46293,636,47260,931,49741,1225,46784,958,51042,1170,50490,1019,48041,1213,48106,943,51088,1273,52735,1109,53011,1366,52082,1485,52790,1351,53571,1517,49423,1372,47662,1060,46567,1055,45981,1020,45589,866,46325,978,48752,955,47020,1032,45442,1082,45122,1441,45077,1229,44707,1393
North Dakota,57415,3233,60800,3142,60189,3512,53815,2913,57568,2192,59397,3119,55449,2512,55318,1920,54636,1308,53962,1463,48253,1652,51207,1482,49212,1570,52075,1098,47691,1086,47917,1076,49541,1466,46478,1968,44039,1713,46634,2005,47355,1782,44957,1881,44756,1765,45432,1349,44637,1492,43957,1582,44451,1765,46579,1667,46398,1943,45074,1807,44393,1620,44560,1700,45146,2256
Ohio,53301,1957,49701,1395,51638,2491,47212,1410,45809,1779,47053,1265,49883,1623,50682,692,51667,934,56127,1240,53958,744,53648,1269,54024,1226,56083,1198,56234,1024,55938,885,59128,1007,56192,1407,56568,2290,53223,1317,51267,1600,54001,1527,50418,924,50550,1063,51997,972,50575,1289,52807,1267,53580,1209,53424,1225,51457,1108,51838,1214,52900,1185,50259,1069
Oklahoma,47077,1937,47253,2778,46971,3502,44545,4157,49971,2912,51065,2524,46858,2254,50681,1258,50761,1025,49402,1661,45656,1877,45688,1759,49707,1408,46266,1006,48031,808,47670,924,44636,976,46507,2122,49014,1790,46178,1510,41286,1639,40664,1360,42719,1920,42430,2411,41863,1780,43227,1832,42903,1837,43695,2282,45580,1456,43307,1765,43237,1798,44560,1605,45966,1561
Oregon,60834,2374,58943,3001,49858,2938,57294,2057,53448,2405,54302,1694,55010,1636,54238,1816,56944,1513,57427,1551,55358,1641,53594,1688,51438,1319,53658,1244,55072,1126,55253,1007,58491,1288,57799,1782,56774,2800,54862,2634,53407,1917,56216,1499,49786,1785,53544,1874,52862,3376,51254,1845,51519,1700,52671,2649,53439,2215,49990,2180,51132,2068,46008,2190,46511,1619
Pennsylvania,60389,2227,55236,2269,56123,2987,54898,1634,53581,1450,52599,1785,52522,1639,53215,1035,56586,648,55370,1065,56987,1022,56193,904,55343,1304,55327,1003,55989,1047,58233,968,58046,969,53728,1624,56699,1570,55260,1420,52514,1466,53357,1056,50752,1035,50081,1121,49477,1104,51554,1042,51034,1211,52968,1263,51502,957,50761,1080,49138,1022,48073,1131,44223,1085
Rhode Island,55701,3247,58700,4006,57311,3920,58826,2172,57877,2644,51675,2406,56120,1881,57040,1597,58611,2641,61970,2114,63170,2143,60057,1767,60148,2474,57618,1610,55882,1153,61210,1536,58075,1401,60788,2817,59127,3861,51253,3292,55655,1559,54647,2122,50533,2091,54143,2500,50387,2373,52351,1852,56247,2067,55616,2500,57472,3051,56487,2875,54779,2188,51747,1891,46974,1843
South Carolina,46360,2266,44981,2247,44327,2430,44516,3022,45836,2227,42243,1794,45330,1587,45404,1230,46406,1234,50542,1775,46572,1583,48826,1461,48548,1281,49587,1445,49815,1613,50518,1370,51707,1290,51884,2459,48345,1904,50465,2370,52162,2114,44929,2164,47238,1803,42096,1551,45662,2374,46624,1930,50558,2433,43937,1955,49174,2215,50012,2268,45342,1783,42103,1811,44142,2030
South Dakota,55065,2604,53114,3546,54350,2968,55408,3083,51012,1760,49767,2263,49302,2223,50624,1424,56804,1095,53062,1029,53402,1929,52371,1662,51580,1249,50931,1294,49895,1256,53108,1146,50200,946,50982,1343,47646,1472,43737,1687,44429,1509,45713,2488,47059,1876,44817,1680,43478,1108,41830,1324,43232,1510,44509,1844,42936,1354,42229,1192,41070,1371,38123,1475,42186,2017
Tennessee,47330,1708,43766,2329,44121,3495,43244,2985,44384,2485,44557,2694,41953,1366,44759,1091,43706,1333,47092,1276,47837,888,47826,1445,47772,1326,48355,1522,48785,1464,47903,1059,46926,1280,51970,1864,49543,1899,45125,2000,46331,1636,44843,1960,45328,1627,40559,1343,40264,1512,41514,1553,39750,1529,41745,2409,40166,1959,42285,1587,37681,1825,37358,1170,36476,1252
Texas,56473,1289,53937,1346,52307,1384,53957,1641,53604,981,51689,1215,51383,1260,52445,821,51179,742,52645,800,50910,973,50272,510,51944,689,50608,982,52894,742,54700,685,53137,1080,55052,1451,52002,962,51663,1296,49765,1148,49516,980,48677,1037,46416,990,46283,1050,47083,1063,49666,1260,47792,1032,48076,1121,49357,1272,49871,1061,49893,1147,50043,1158
Utah,66258,2462,63456,3235,62117,1580,64071,4210,60226,3039,58483,1748,61640,2133,64615,1754,68844,1680,61191,1392,64218,1964,66525,1581,63832,1163,63499,1162,63054,1510,63377,2143,65442,1433,65528,2298,64378,1998,63004,2629,55733,2001,56380,1420,56529,1648,57822,2007,56710,1896,47563,2307,53034,1791,56711,1872,50676,1751,52967,2384,54244,1672,53035,1475,50115,1598
Vermont,59494,2622,60778,3102,66662,4083,55804,3033,57378,3128,54656,2115,60800,2443,57795,1589,55820,1081,54173,1598,61107,1488,61538,1589,59387,1594,55749,1259,56649,1093,54612,1264,54493,1268,59173,2002,57218,2312,51631,2544,48691,1881,52275,1920,56665,3017,50194,1545,54233,2207,49497,2075,54716,2342,57778,2097,55828,2074,50743,2743,50773,2070,54636,1980,49074,2137
Virginia,61486,2439,66231,2949,67063,2788,68806,2587,66721,2236,65989,1869,65625,2136,66835,1318,68236,1593,67629,1560,67147,1871,63006,1438,64170,1400,70597,2014,65386,1700,67258,1537,64910,1466,65020,2519,63004,3190,63273,2794,59003,2195,55981,2150,59585,2423,58868,2241,63246,2250,61350,2268,61710,1844,62990,2225,62876,2540,59889,2023,61332,2217,59740,2782,57653,1900
Washington,67243,3253,59136,2198,65043,3445,61160,2237,64197,2322,59913,2090,61055,2239,66715,1325,62342,2225,66393,1984,64330,1462,61467,1268,62641,1340,61222,1798,59526,1270,56882,1692,58527,1667,64707,2960,68915,2004,65637,2526,55188,2420,54970,1935,53074,1883,57611,1795,56129,2065,57671,2012,56500,2180,59008,2718,62258,1984,54544,2212,55483,1961,50433,1589,54375,1789
West Virginia,42824,3132,39597,2198,43824,3515,40947,2737,44960,2864,44074,1861,46503,2737,44729,1009,41826,1546,48116,1131,45164,1427,44232,1306,41876,1472,42221,1280,38679,921,39724,902,40478,888,41689,1635,38808,1134,40488,1937,37991,1958,38452,1345,37295,1926,36227,1585,33563,1477,39297,1558,38949,2009,40021,1556,37272,1791,34355,1553,33982,1868,33586,1740,36609,1322
Wisconsin,55425,1487,58147,2156,52633,2675,56227,2379,54794,1764,54863,2178,54737,1560,56601,890,56364,938,58617,1189,60767,1347,54190,1430,57383,1678,59626,1260,60475,1246,60705,1503,62054,1310,64983,2672,60059,1847,58321,1694,60192,2678,63296,2037,56010,2013,51327,2165,55149,1816,52855,1728,54035,1578,53768,2289,56958,1884,52647,2815,54552,1657,48849,2440,45086,1784
Wyoming,60925,2024,55754,2021,68623,4058,56677,3224,59371,2911,57446,2400,56748,2371,57963,2354,58716,1736,55721,1558,55299,1767,54273,1830,56963,1438,54840,1289,52385,1286,53172,1561,54541,1453,53003,1829,51227,1912,49230,2122,46577,1291,48728,1756,52452,2925,47572,1886,50018,2351,49318,2346,51834,1744,54503,2380,50880,2109,55085,2911,48626,1781,46401,2204,51765,1589
"Source: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplements.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see //www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
